,Small LowVol,Small Neutral,Small HighVol,Big LowVol,Big Neutral,Big HighVol,Rm-Rf,Rf,SLV-Rf,BLV-Rf,SHV-Rf,BHV-Rf,VOL,Conservative,Speculative,CMS
Jun-91,-0.97%,-4.99%,-6.86%,-3.07%,-4.80%,-7.56%,-4.94%,0.42%,-1.39%,-3.49%,-7.28%,-7.98%,2.43%,-3.47%,-6.07%,-0.58%
Jul-91,2.69%,3.82%,4.93%,4.86%,3.62%,6.63%,4.24%,0.49%,2.20%,4.37%,4.44%,6.14%,0.39%,4.54%,3.40%,3.62%
Aug-91,2.23%,3.97%,4.79%,2.59%,2.14%,3.68%,2.32%,0.46%,1.77%,2.13%,4.33%,3.22%,-0.21%,2.33%,4.70%,-0.17%
Sep-91,0.47%,-0.49%,1.00%,-0.11%,-2.80%,-1.54%,-1.59%,0.46%,0.01%,-0.57%,0.54%,-2.00%,0.21%,0.14%,-2.90%,2.11%
Oct-91,0.85%,1.29%,4.54%,1.78%,1.17%,2.13%,1.29%,0.42%,0.43%,1.36%,4.12%,1.71%,-0.92%,2.96%,0.20%,3.69%
Nov-91,-1.91%,-4.93%,-5.12%,-2.34%,-4.78%,-5.07%,-4.19%,0.39%,-2.30%,-2.73%,-5.51%,-5.46%,0.71%,-2.29%,-5.15%,0.47%
Dec-91,5.98%,9.31%,7.50%,10.14%,11.91%,13.80%,10.84%,0.38%,5.60%,9.76%,7.12%,13.42%,2.49%,9.60%,8.71%,6.65%
Jan-92,5.22%,8.04%,14.17%,-4.06%,-0.26%,3.38%,-0.59%,0.34%,4.88%,-4.40%,13.83%,3.04%,-5.85%,-1.27%,5.16%,-5.31%
Feb-92,2.93%,3.58%,3.98%,-0.72%,2.38%,3.15%,1.09%,0.28%,2.65%,-1.00%,3.70%,2.87%,-1.33%,0.60%,4.34%,-2.37%
Mar-92,0.30%,-2.36%,-6.51%,-1.89%,-1.41%,-4.02%,-2.66%,0.34%,-0.04%,-2.23%,-6.85%,-4.36%,2.80%,-0.74%,-7.42%,4.39%
Apr-92,0.11%,-2.41%,-8.57%,4.33%,1.61%,-1.00%,1.07%,0.32%,-0.21%,4.01%,-8.89%,-1.32%,6.24%,2.23%,-4.20%,5.81%
May-92,1.56%,1.45%,-0.17%,0.96%,0.95%,-0.81%,0.30%,0.28%,1.28%,0.68%,-0.45%,-1.09%,1.89%,1.44%,2.53%,0.04%
Jun-92,-1.58%,-4.12%,-7.65%,-1.05%,-2.06%,-2.35%,-2.34%,0.32%,-1.90%,-1.37%,-7.97%,-2.67%,1.79%,-0.61%,-5.08%,2.83%
Jul-92,3.26%,4.03%,3.35%,4.72%,3.67%,3.35%,3.77%,0.31%,2.95%,4.41%,3.04%,3.04%,2.56%,4.17%,1.93%,3.91%
Aug-92,-0.67%,-2.57%,-6.18%,-0.78%,-2.54%,-4.49%,-2.38%,0.26%,-0.93%,-1.04%,-6.44%,-4.75%,2.77%,-1.83%,-4.46%,0.69%
Sep-92,1.64%,1.57%,2.41%,0.26%,2.24%,2.66%,1.19%,0.26%,1.38%,0.00%,2.15%,2.40%,-0.73%,0.48%,1.07%,-0.12%
Oct-92,1.04%,2.75%,4.34%,-1.03%,1.96%,4.25%,1.02%,0.23%,0.81%,-1.26%,4.11%,4.02%,-3.22%,-0.27%,5.07%,-3.78%
Nov-92,4.77%,7.93%,10.26%,2.08%,4.00%,7.85%,4.13%,0.23%,4.54%,1.85%,10.03%,7.62%,-2.18%,2.03%,6.73%,-2.02%
Dec-92,4.18%,4.05%,3.15%,1.24%,1.24%,2.97%,1.53%,0.28%,3.90%,0.96%,2.87%,2.69%,1.21%,2.67%,1.61%,2.34%
Jan-93,3.16%,4.53%,4.10%,-0.41%,0.36%,4.76%,0.93%,0.23%,2.93%,-0.64%,3.87%,4.53%,-1.52%,1.40%,-0.23%,1.96%
Feb-93,1.35%,-1.50%,-4.37%,2.29%,0.68%,-1.90%,0.12%,0.22%,1.13%,2.07%,-4.59%,-2.12%,4.50%,2.95%,-6.15%,8.16%
Mar-93,3.13%,3.38%,1.40%,2.05%,2.45%,3.39%,2.30%,0.25%,2.88%,1.80%,1.15%,3.14%,1.64%,3.03%,0.81%,3.58%
Apr-93,-1.24%,-3.57%,-4.73%,-1.91%,-2.91%,-4.17%,-3.05%,0.24%,-1.48%,-2.15%,-4.97%,-4.41%,0.84%,-2.01%,-3.49%,-0.35%
May-93,1.57%,4.49%,7.73%,1.77%,2.50%,5.81%,2.89%,0.22%,1.35%,1.55%,7.51%,5.59%,-2.60%,0.58%,6.07%,-3.35%
Jun-93,0.64%,-0.15%,0.81%,1.01%,-0.44%,1.29%,0.31%,0.25%,0.39%,0.76%,0.56%,1.04%,0.23%,2.30%,-0.37%,3.43%
Jul-93,2.28%,1.23%,0.76%,-0.12%,-0.32%,-1.06%,-0.34%,0.24%,2.04%,-0.36%,0.52%,-1.30%,1.34%,0.91%,-3.63%,3.68%
Aug-93,3.21%,4.76%,4.19%,3.29%,3.55%,5.70%,3.71%,0.25%,2.96%,3.04%,3.94%,5.45%,0.79%,3.75%,3.96%,2.50%
Sep-93,2.18%,2.12%,3.12%,-0.65%,-1.33%,2.08%,-0.12%,0.26%,1.92%,-0.91%,2.86%,1.82%,-0.88%,-0.25%,-0.65%,0.06%
Oct-93,1.41%,2.28%,5.25%,0.52%,3.08%,-0.12%,1.41%,0.22%,1.19%,0.30%,5.03%,-0.34%,-0.57%,-0.41%,1.41%,-1.63%
Nov-93,-2.35%,-2.87%,-3.22%,-2.52%,-0.04%,-0.72%,-1.89%,0.25%,-2.60%,-2.77%,-3.47%,-0.97%,-2.36%,-4.40%,-1.00%,-5.65%
Dec-93,3.45%,4.24%,1.37%,1.33%,1.16%,3.02%,1.65%,0.23%,3.22%,1.10%,1.14%,2.79%,1.87%,1.70%,2.90%,0.06%
Jan-94,1.43%,3.80%,4.59%,2.12%,2.88%,5.14%,2.87%,0.25%,1.18%,1.87%,4.34%,4.89%,-1.24%,0.74%,5.45%,-3.28%
Feb-94,-0.02%,0.02%,-1.34%,-3.27%,-2.25%,-1.72%,-2.55%,0.21%,-0.23%,-3.48%,-1.55%,-1.93%,-1.02%,-2.05%,-3.03%,-0.26%
Mar-94,-3.01%,-5.10%,-6.32%,-3.48%,-4.18%,-5.63%,-4.78%,0.27%,-3.28%,-3.75%,-6.59%,-5.90%,-0.43%,-4.36%,-5.98%,-0.39%
Apr-94,0.59%,0.87%,-1.31%,1.49%,1.57%,-0.07%,0.68%,0.27%,0.32%,1.22%,-1.58%,-0.34%,1.84%,1.02%,0.04%,1.26%
May-94,-0.20%,-0.32%,-0.98%,0.97%,1.79%,0.60%,0.58%,0.31%,-0.51%,0.66%,-1.29%,0.29%,0.39%,-0.05%,2.08%,-1.89%
Jun-94,0.55%,-1.36%,-5.86%,-2.42%,-1.96%,-4.18%,-3.03%,0.31%,0.24%,-2.73%,-6.17%,-4.49%,2.85%,-1.88%,-3.73%,0.93%
Jul-94,1.55%,1.54%,1.89%,3.64%,3.09%,2.76%,2.82%,0.28%,1.27%,3.36%,1.61%,2.48%,1.54%,1.98%,2.77%,0.04%
Aug-94,3.20%,5.39%,6.84%,2.54%,4.77%,6.39%,4.01%,0.37%,2.83%,2.17%,6.47%,6.02%,-1.17%,5.13%,5.80%,1.48%
Sep-94,-0.62%,-0.22%,0.12%,-2.24%,-2.52%,-1.81%,-2.31%,0.37%,-0.99%,-2.61%,-0.25%,-2.18%,-1.54%,-2.23%,-1.36%,-1.60%
Oct-94,-0.43%,-0.49%,-0.38%,1.89%,1.86%,2.75%,1.34%,0.38%,-0.81%,1.51%,-0.76%,2.37%,-0.42%,-0.25%,1.15%,-1.32%
Nov-94,-2.97%,-4.04%,-3.79%,-3.21%,-3.53%,-3.88%,-4.04%,0.37%,-3.34%,-3.58%,-4.16%,-4.25%,-1.76%,-4.18%,-5.81%,-0.04%
Dec-94,2.98%,1.72%,-1.04%,2.01%,0.67%,1.16%,0.86%,0.44%,2.54%,1.57%,-1.48%,0.72%,3.51%,1.47%,-1.47%,3.03%
Jan-95,0.96%,-0.17%,0.70%,3.82%,2.74%,0.00%,1.80%,0.42%,0.54%,3.40%,0.28%,-0.42%,2.57%,2.43%,0.70%,2.41%
Feb-95,3.09%,3.84%,4.08%,3.14%,4.06%,5.74%,3.63%,0.40%,2.69%,2.74%,3.68%,5.34%,0.50%,3.30%,5.04%,0.24%
Mar-95,0.83%,1.41%,2.47%,1.48%,3.44%,3.73%,2.19%,0.46%,0.37%,1.02%,2.01%,3.27%,-1.01%,1.37%,0.78%,1.07%
Apr-95,2.24%,2.81%,2.59%,2.80%,2.39%,2.93%,2.11%,0.44%,1.80%,2.36%,2.15%,2.49%,1.15%,0.83%,-0.38%,1.28%
May-95,2.00%,1.43%,2.34%,3.84%,4.02%,3.07%,2.90%,0.54%,1.46%,3.30%,1.80%,2.53%,1.58%,3.98%,1.34%,3.73%
Jun-95,2.78%,4.68%,7.85%,0.94%,2.74%,6.29%,2.72%,0.47%,2.31%,0.47%,7.38%,5.82%,-2.75%,0.70%,4.79%,-3.00%
Jul-95,3.01%,5.54%,7.93%,2.25%,3.40%,6.87%,3.72%,0.45%,2.56%,1.80%,7.48%,6.42%,-1.97%,1.45%,5.09%,-2.37%
Aug-95,2.75%,2.29%,3.62%,0.81%,0.69%,0.79%,0.55%,0.47%,2.28%,0.34%,3.15%,0.32%,0.85%,0.83%,1.36%,-0.03%
Sep-95,2.62%,1.35%,2.72%,5.88%,3.61%,1.41%,3.35%,0.43%,2.19%,5.45%,2.29%,0.98%,4.01%,4.50%,-0.72%,6.06%
Oct-95,-1.69%,-5.26%,-8.16%,0.90%,-1.49%,-1.47%,-1.52%,0.47%,-2.16%,0.43%,-8.63%,-1.94%,2.39%,-0.10%,-5.68%,4.53%
Nov-95,3.49%,4.67%,3.02%,4.38%,4.95%,3.32%,3.96%,0.42%,3.07%,3.96%,2.60%,2.90%,2.83%,3.56%,5.48%,-0.05%
Dec-95,2.03%,2.70%,2.38%,3.58%,1.50%,-2.54%,1.03%,0.49%,1.54%,3.09%,1.89%,-3.03%,3.60%,1.92%,0.12%,2.15%
Jan-96,0.55%,0.40%,1.07%,2.58%,3.87%,1.98%,2.26%,0.43%,0.12%,2.15%,0.64%,1.55%,0.49%,1.82%,-0.82%,2.80%
Feb-96,1.79%,3.07%,4.78%,-0.37%,2.29%,3.38%,1.33%,0.39%,1.40%,-0.76%,4.39%,2.99%,-2.17%,0.87%,1.80%,-0.45%
Mar-96,1.75%,3.43%,1.06%,0.74%,1.58%,-0.14%,0.73%,0.39%,1.36%,0.35%,0.67%,-0.53%,1.31%,0.77%,0.38%,0.58%
Apr-96,1.40%,4.38%,9.25%,0.08%,1.45%,5.96%,2.06%,0.46%,0.94%,-0.38%,8.79%,5.50%,-5.03%,-1.73%,6.98%,-7.81%
May-96,2.27%,3.69%,7.57%,2.33%,2.44%,2.52%,2.36%,0.42%,1.85%,1.91%,7.15%,2.10%,-0.85%,0.42%,-0.73%,1.07%
Jun-96,-0.04%,-1.38%,-8.16%,2.33%,-0.48%,-4.05%,-1.14%,0.40%,-0.44%,1.93%,-8.56%,-4.45%,5.84%,1.71%,-7.47%,8.23%
Jul-96,-2.84%,-6.93%,-13.20%,-4.13%,-4.04%,-7.75%,-5.97%,0.45%,-3.29%,-4.58%,-13.65%,-8.20%,2.68%,-3.91%,-11.80%,4.65%
Aug-96,3.83%,5.23%,7.10%,1.61%,3.12%,4.58%,2.77%,0.41%,3.42%,1.20%,6.69%,4.17%,-0.28%,2.91%,6.67%,-1.31%
Sep-96,2.66%,2.70%,4.00%,5.14%,4.76%,8.48%,5.01%,0.44%,2.22%,4.70%,3.56%,8.04%,0.33%,4.50%,5.33%,1.79%
Oct-96,1.81%,1.07%,-4.06%,2.81%,2.85%,-0.60%,0.86%,0.42%,1.39%,2.39%,-4.48%,-1.02%,4.45%,2.97%,-5.90%,7.97%
Nov-96,5.08%,3.75%,3.24%,6.34%,7.52%,8.74%,6.25%,0.41%,4.67%,5.93%,2.83%,8.33%,3.32%,4.93%,9.09%,-0.54%
Dec-96,3.33%,2.17%,1.12%,-1.30%,-1.46%,-2.07%,-1.70%,0.46%,2.87%,-1.76%,0.66%,-2.53%,2.06%,-1.78%,-2.69%,-0.42%
Jan-97,2.16%,3.38%,4.45%,4.98%,6.05%,7.32%,4.98%,0.45%,1.71%,4.53%,4.00%,6.87%,0.23%,3.21%,2.12%,2.62%
Feb-97,2.55%,-0.58%,-5.32%,1.53%,1.95%,-4.64%,-0.49%,0.39%,2.16%,1.14%,-5.71%,-5.03%,6.70%,2.53%,-2.83%,5.34%
Mar-97,-1.24%,-2.54%,-7.24%,-3.72%,-4.83%,-4.86%,-5.02%,0.43%,-1.67%,-4.15%,-7.67%,-5.29%,0.51%,-4.21%,-8.63%,0.70%
Apr-97,0.49%,-0.32%,-3.53%,5.98%,6.06%,3.44%,4.04%,0.43%,0.06%,5.55%,-3.96%,3.01%,3.75%,3.20%,-0.73%,4.76%
May-97,6.89%,11.18%,16.12%,5.43%,5.91%,8.93%,6.74%,0.49%,6.40%,4.94%,15.63%,8.44%,0.70%,4.95%,12.45%,-2.43%
Jun-97,6.80%,6.22%,3.76%,4.64%,5.13%,1.93%,4.10%,0.37%,6.43%,4.27%,3.39%,1.56%,7.09%,4.34%,1.65%,4.70%
Jul-97,4.79%,5.44%,6.42%,5.11%,8.08%,13.51%,7.33%,0.43%,4.36%,4.68%,5.99%,13.08%,-0.41%,6.87%,6.05%,5.04%
Aug-97,2.54%,2.94%,4.75%,-5.98%,-5.02%,-1.62%,-4.15%,0.41%,2.13%,-6.39%,4.34%,-2.03%,-3.04%,-3.95%,-0.45%,-4.79%
Sep-97,7.25%,7.26%,9.92%,5.99%,5.54%,4.52%,5.35%,0.44%,6.81%,5.55%,9.48%,4.08%,4.55%,5.62%,4.59%,3.69%
Oct-97,-0.32%,-2.40%,-5.21%,-1.77%,-2.28%,-7.56%,-3.80%,0.42%,-0.74%,-2.19%,-5.63%,-7.98%,3.33%,-1.87%,-8.42%,3.96%
Nov-97,2.14%,-0.89%,-3.72%,6.30%,4.46%,0.53%,2.98%,0.39%,1.75%,5.91%,-4.11%,0.14%,6.78%,3.22%,-1.50%,5.29%
Dec-97,5.88%,2.18%,-4.67%,3.15%,3.19%,-2.56%,1.32%,0.48%,5.40%,2.67%,-5.15%,-3.04%,10.29%,6.17%,0.95%,7.54%
Jan-98,-1.84%,-1.13%,0.55%,-0.08%,-0.08%,3.56%,0.15%,0.43%,-2.27%,-0.51%,0.12%,3.13%,-3.86%,-2.57%,-1.66%,-2.23%
Feb-98,5.56%,6.56%,8.92%,5.49%,7.29%,9.73%,7.04%,0.39%,5.17%,5.10%,8.53%,9.34%,1.36%,5.29%,9.66%,-0.13%
Mar-98,4.63%,5.38%,3.14%,6.36%,5.02%,2.96%,4.76%,0.39%,4.24%,5.97%,2.75%,2.57%,5.74%,4.30%,3.96%,2.85%
Apr-98,1.25%,1.08%,1.77%,0.49%,0.55%,2.78%,0.73%,0.43%,0.82%,0.06%,1.34%,2.35%,-0.60%,-0.41%,0.09%,-0.61%
May-98,-2.10%,-3.94%,-7.22%,-1.62%,-0.91%,-5.87%,-3.07%,0.40%,-2.50%,-2.02%,-7.62%,-6.27%,1.81%,-1.44%,-8.08%,4.01%
Jun-98,-0.62%,-0.66%,-2.44%,2.80%,4.45%,3.99%,3.18%,0.41%,-1.03%,2.39%,-2.85%,3.58%,0.21%,1.70%,-1.22%,3.14%
Jul-98,-4.30%,-7.84%,-9.29%,-2.83%,-1.37%,-0.14%,-2.46%,0.40%,-4.70%,-3.23%,-9.69%,-0.54%,-2.32%,-2.84%,-10.41%,3.79%
Aug-98,-11.84%,-17.34%,-25.50%,-9.95%,-15.92%,-19.30%,-16.08%,0.43%,-12.27%,-10.38%,-25.93%,-19.73%,1.10%,-11.28%,-24.43%,2.71%
Sep-98,3.73%,4.90%,7.82%,6.57%,4.77%,10.53%,6.15%,0.46%,3.27%,6.11%,7.36%,10.07%,-0.41%,4.89%,12.81%,-2.67%
Oct-98,2.72%,3.46%,7.66%,5.89%,8.89%,7.86%,7.13%,0.32%,2.40%,5.57%,7.34%,7.54%,-0.26%,1.69%,13.72%,-7.18%
Nov-98,3.54%,4.63%,8.23%,4.10%,6.63%,8.68%,6.10%,0.31%,3.23%,3.79%,7.92%,8.37%,-1.26%,2.34%,2.79%,1.37%
Dec-98,2.48%,2.36%,4.16%,4.02%,4.86%,12.03%,6.16%,0.38%,2.10%,3.64%,3.78%,11.65%,-1.94%,3.29%,6.07%,0.49%
Jan-99,-3.01%,-1.54%,6.03%,-2.34%,3.45%,11.76%,3.50%,0.35%,-3.36%,-2.69%,5.68%,11.41%,-11.00%,-2.44%,-2.34%,-1.89%
Feb-99,-4.33%,-6.67%,-9.07%,-1.38%,-1.14%,-8.29%,-4.08%,0.35%,-4.68%,-1.73%,-9.42%,-8.64%,1.70%,-2.35%,-7.72%,1.94%
Mar-99,-2.76%,-0.89%,-1.24%,1.78%,1.53%,8.97%,3.45%,0.43%,-3.19%,1.35%,-1.67%,8.54%,-4.30%,-1.30%,1.60%,-3.01%
Apr-99,6.07%,11.55%,9.97%,5.32%,4.19%,1.70%,4.33%,0.37%,5.70%,4.95%,9.60%,1.33%,4.05%,6.71%,10.57%,2.58%
May-99,2.61%,4.31%,5.09%,-2.03%,-1.59%,-2.60%,-2.46%,0.34%,2.27%,-2.37%,4.75%,-2.94%,-0.32%,-0.34%,3.11%,-2.63%
Jun-99,3.88%,5.12%,7.88%,2.35%,4.71%,8.81%,4.77%,0.40%,3.48%,1.95%,7.48%,8.41%,-1.78%,0.40%,1.28%,-0.32%
Jul-99,0.12%,-1.12%,-0.72%,-1.72%,-4.88%,-1.87%,-3.49%,0.38%,-0.26%,-2.10%,-1.10%,-2.25%,-0.35%,-1.96%,-6.28%,1.63%
Aug-99,-3.50%,-4.75%,-1.47%,-2.17%,-2.58%,2.90%,-1.38%,0.39%,-3.89%,-2.56%,-1.86%,2.51%,-5.23%,-3.99%,-7.54%,-0.38%
Sep-99,-1.34%,-2.92%,0.88%,-2.41%,-4.53%,-0.81%,-2.79%,0.39%,-1.73%,-2.80%,0.49%,-1.20%,-3.02%,-3.43%,-3.75%,-2.25%
Oct-99,-0.88%,-2.00%,-1.06%,7.24%,6.61%,6.19%,6.12%,0.39%,-1.27%,6.85%,-1.45%,5.80%,1.76%,3.48%,-2.81%,7.06%
Nov-99,0.01%,1.20%,15.74%,-1.79%,1.80%,8.45%,3.37%,0.36%,-0.35%,-2.15%,15.38%,8.09%,-11.40%,-1.40%,4.77%,-5.64%
Dec-99,-0.82%,3.51%,16.78%,1.21%,0.14%,20.04%,7.72%,0.44%,-1.26%,0.77%,16.34%,19.60%,-14.99%,1.00%,4.46%,-1.94%
Jan-00,-4.65%,-3.60%,6.60%,-5.47%,-3.95%,-5.34%,-4.74%,0.41%,-5.06%,-5.88%,6.19%,-5.75%,-8.94%,-7.01%,-6.48%,-5.73%
Feb-00,-1.88%,1.86%,29.25%,-9.60%,-5.21%,15.15%,2.45%,0.43%,-2.31%,-10.03%,28.82%,14.72%,-26.32%,-7.86%,1.91%,-13.12%
Mar-00,2.85%,4.16%,-4.18%,9.79%,12.06%,3.48%,5.20%,0.47%,2.38%,9.32%,-4.65%,3.01%,9.30%,10.49%,0.74%,14.99%
Apr-00,3.49%,1.28%,-15.41%,1.45%,-4.31%,-7.26%,-6.40%,0.46%,3.03%,0.99%,-15.87%,-7.72%,13.00%,1.32%,-10.34%,10.02%
May-00,0.50%,-1.65%,-9.48%,1.73%,-1.43%,-9.17%,-4.42%,0.50%,0.00%,1.23%,-9.98%,-9.67%,8.49%,0.37%,-0.59%,1.04%
Jun-00,1.38%,1.83%,18.94%,-2.11%,-0.54%,12.76%,4.64%,0.40%,0.98%,-2.51%,18.54%,12.36%,-12.85%,-4.34%,1.20%,-8.00%
Jul-00,2.95%,2.34%,-5.81%,-0.48%,0.38%,-4.35%,-2.51%,0.48%,2.47%,-0.96%,-6.29%,-4.83%,6.02%,4.63%,-7.81%,14.39%
Aug-00,3.92%,4.15%,12.09%,5.82%,3.20%,13.45%,7.03%,0.50%,3.42%,5.32%,11.59%,12.95%,-0.91%,5.93%,8.58%,3.91%
Sep-00,1.97%,-1.05%,-5.92%,3.45%,-6.30%,-9.72%,-5.45%,0.51%,1.46%,2.94%,-6.43%,-10.23%,9.83%,4.16%,-6.82%,12.95%
Oct-00,0.75%,0.26%,-8.95%,2.08%,0.67%,-4.52%,-2.76%,0.56%,0.19%,1.52%,-9.51%,-5.08%,6.73%,1.11%,-6.99%,7.87%
Nov-00,0.07%,-1.91%,-17.42%,-0.77%,-5.20%,-19.85%,-10.72%,0.51%,-0.44%,-1.28%,-17.93%,-20.36%,11.67%,1.61%,-13.74%,14.36%
Dec-00,8.45%,9.60%,2.76%,1.95%,3.43%,-2.02%,1.19%,0.50%,7.95%,1.45%,2.26%,-2.52%,12.17%,8.15%,7.05%,14.64%
Jan-01,4.59%,8.02%,22.73%,-5.11%,2.78%,12.83%,3.13%,0.54%,4.05%,-5.65%,22.19%,12.29%,-11.96%,-8.13%,21.57%,-37.60%
Feb-01,1.87%,0.18%,-13.94%,-0.03%,-7.04%,-19.94%,-10.05%,0.38%,1.49%,-0.41%,-14.32%,-20.32%,12.92%,2.62%,-22.62%,24.51%
Mar-01,-0.04%,-3.04%,-7.53%,-4.39%,-4.01%,-12.02%,-7.26%,0.42%,-0.46%,-4.81%,-7.95%,-12.44%,0.12%,-0.86%,-13.76%,7.37%
Apr-01,3.64%,6.38%,12.78%,4.93%,5.31%,15.51%,7.94%,0.39%,3.25%,4.54%,12.39%,15.12%,2.20%,3.87%,22.87%,-3.26%
May-01,3.48%,5.79%,6.93%,1.53%,2.77%,-2.47%,0.72%,0.32%,3.16%,1.21%,6.61%,-2.79%,5.34%,2.86%,-2.50%,11.31%
Jun-01,6.36%,3.60%,5.03%,-2.80%,-2.76%,-0.31%,-1.94%,0.28%,6.08%,-3.08%,4.75%,-0.59%,5.19%,-0.69%,-0.51%,-1.97%
Jul-01,0.89%,-0.45%,-7.99%,0.22%,1.39%,-6.07%,-2.13%,0.30%,0.59%,-0.08%,-8.29%,-6.37%,5.58%,1.16%,-13.35%,13.10%
Aug-01,0.91%,-1.52%,-6.01%,-3.41%,-4.65%,-11.68%,-6.46%,0.31%,0.60%,-3.72%,-6.32%,-11.99%,2.36%,-1.20%,-14.19%,5.55%
Sep-01,-6.94%,-13.46%,-20.56%,-2.79%,-6.55%,-17.74%,-9.25%,0.28%,-7.22%,-3.07%,-20.84%,-18.02%,-6.34%,-5.46%,-26.19%,-14.20%
Oct-01,1.52%,5.17%,14.93%,-0.74%,0.62%,9.53%,2.46%,0.22%,1.30%,-0.96%,14.71%,9.31%,-6.13%,1.42%,19.46%,-5.11%
Nov-01,4.48%,6.82%,12.29%,3.58%,7.53%,13.77%,7.54%,0.17%,4.31%,3.41%,12.12%,13.60%,6.55%,6.18%,14.69%,22.57%
Dec-01,5.19%,6.81%,8.34%,1.48%,2.35%,-0.45%,1.61%,0.15%,5.04%,1.33%,8.19%,-0.60%,9.83%,3.47%,0.17%,15.55%
Jan-02,1.65%,1.10%,-2.52%,-1.16%,-0.74%,-1.46%,-1.44%,0.14%,1.51%,-1.30%,-2.66%,-1.60%,2.11%,2.45%,-7.56%,15.83%
Feb-02,2.16%,1.52%,-8.35%,1.46%,0.82%,-10.54%,-2.29%,0.13%,2.03%,1.33%,-8.48%,-10.67%,11.55%,3.44%,-13.77%,23.11%
Mar-02,6.73%,8.81%,11.76%,2.64%,3.75%,6.29%,4.24%,0.13%,6.60%,2.51%,11.63%,6.16%,12.10%,3.62%,10.77%,10.43%
Apr-02,4.86%,4.34%,-4.22%,-4.14%,-4.39%,-9.12%,-5.20%,0.15%,4.71%,-4.29%,-4.37%,-9.27%,6.47%,3.17%,-10.32%,19.35%
May-02,-1.02%,-2.63%,-6.90%,-0.28%,-0.16%,-2.83%,-1.38%,0.14%,-1.16%,-0.42%,-7.04%,-2.97%,-0.18%,-0.14%,-8.75%,4.38%
Jun-02,0.69%,-1.94%,-10.35%,-5.07%,-6.79%,-11.39%,-7.21%,0.13%,0.56%,-5.20%,-10.48%,-11.52%,-1.21%,-4.42%,-19.10%,-11.64%
Jul-02,-8.59%,-15.62%,-18.15%,-5.13%,-7.69%,-10.62%,-8.18%,0.15%,-8.74%,-5.28%,-18.30%,-10.77%,-17.58%,-4.66%,-12.69%,-13.25%
Aug-02,0.88%,0.30%,-1.56%,0.63%,1.89%,-0.67%,0.50%,0.14%,0.74%,0.49%,-1.70%,-0.81%,2.90%,1.43%,-2.42%,7.07%
Sep-02,-4.04%,-6.67%,-11.25%,-9.02%,-10.65%,-12.60%,-10.35%,0.14%,-4.18%,-9.16%,-11.39%,-12.74%,-15.26%,-7.31%,-17.01%,-19.74%
Oct-02,1.21%,1.33%,10.52%,5.74%,7.71%,14.30%,7.84%,0.14%,1.07%,5.60%,10.38%,14.16%,2.47%,3.02%,10.15%,4.58%
Nov-02,3.03%,6.50%,20.07%,1.17%,5.90%,14.04%,5.96%,0.12%,2.91%,1.05%,19.95%,13.92%,-2.60%,1.14%,22.62%,-8.39%
Dec-02,-0.47%,-3.07%,-10.48%,-2.92%,-4.47%,-11.83%,-5.76%,0.11%,-0.58%,-3.03%,-10.59%,-11.94%,1.13%,-1.31%,-12.13%,1.83%
Jan-03,-1.69%,-3.39%,-2.29%,-2.95%,-2.99%,-1.67%,-2.57%,0.10%,-1.79%,-3.05%,-2.39%,-1.77%,-5.42%,-1.64%,-3.66%,-3.45%
Feb-03,-1.82%,-4.11%,-3.68%,-1.91%,-2.87%,0.07%,-1.88%,0.09%,-1.91%,-2.00%,-3.77%,-0.02%,-4.60%,-1.69%,-4.44%,-3.57%
Mar-03,1.08%,0.92%,2.07%,2.80%,0.01%,-0.14%,1.09%,0.10%,0.98%,2.70%,1.97%,-0.24%,4.14%,-0.56%,0.25%,-1.82%
Apr-03,6.87%,10.31%,14.66%,5.48%,9.92%,10.26%,8.22%,0.10%,6.77%,5.38%,14.56%,10.16%,10.28%,5.37%,14.88%,12.35%
May-03,5.24%,9.95%,18.89%,2.67%,6.21%,9.85%,6.05%,0.09%,5.15%,2.58%,18.80%,9.76%,2.14%,4.97%,18.74%,7.42%
Jun-03,1.07%,2.70%,4.50%,0.74%,2.19%,1.26%,1.42%,0.10%,0.97%,0.64%,4.40%,1.16%,0.52%,-0.64%,0.36%,-2.20%
Jul-03,4.75%,5.93%,8.82%,0.84%,1.55%,4.55%,2.35%,0.07%,4.68%,0.77%,8.75%,4.48%,3.21%,1.72%,3.91%,3.17%
Aug-03,2.11%,5.09%,6.71%,0.37%,1.71%,5.48%,2.34%,0.07%,2.04%,0.30%,6.64%,5.41%,-0.44%,1.78%,8.97%,0.93%
Sep-03,-0.53%,-1.85%,-0.74%,-0.56%,-1.49%,-1.82%,-1.24%,0.08%,-0.61%,-0.64%,-0.82%,-1.90%,-0.72%,0.04%,-3.28%,1.62%
Oct-03,6.31%,9.11%,10.09%,3.63%,6.78%,8.43%,6.08%,0.07%,6.24%,3.56%,10.02%,8.36%,6.38%,7.11%,8.74%,16.27%
Nov-03,3.89%,4.18%,3.56%,0.74%,1.13%,1.84%,1.35%,0.07%,3.82%,0.67%,3.49%,1.77%,3.77%,2.27%,1.68%,5.24%
Dec-03,2.60%,5.50%,1.32%,5.56%,4.64%,3.00%,4.29%,0.08%,2.52%,5.48%,1.24%,2.92%,6.97%,2.76%,5.34%,4.15%
